class,support,precision,precision_sd,recall,recall_sd,f1,f1_sd
crazing,60,1.0,0.0,0.99,0.009128709291752798,0.9949579831932773,0.0046027105672702875
patches,60,0.9934426229508198,0.008979058319756832,0.9966666666666667,0.007453559924999322,0.9950135426071256,0.004552345173235492
inclusion,60,0.9967213114754099,0.007331370418032106,0.9966666666666667,0.007453559924999322,0.996666435169109,0.004564935788557464
pitted_surface,60,0.9967213114754099,0.007331370418032106,0.9966666666666667,0.007453559924999322,0.996666435169109,0.004564935788557464
scratches,60,0.9935483870967742,0.01442624501612766,1.0,0.0,0.9967213114754099,0.007331370418032107
rolled-in_scale,60,1.0,0.0,1.0,0.0,1.0,0.0
