strategy,n_bins,vocab_size,test_accuracy_mean,test_accuracy_sd,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,test_oor_rate_pct,n_seeds
quantile,3,463,0.9958333333333333,0.0019641855032959585,0.9958211748069448,0.0019811074337250075,0.9958333333333333,0.0242,2
quantile,5,647,1.0,0.0,1.0,0.0,1.0,0.0242,2
quantile,7,831,0.9986111111111111,0.0019641855032959585,0.9986110146537954,0.0019643219145399978,0.9986111111111111,0.0242,2
quantile,10,1107,0.9972222222222222,0.0,0.9972220293075909,0.0,0.9972222222222222,0.0242,2
uniform,3,463,0.9944444444444445,0.0,0.9944440586151817,0.0,0.9944444444444445,0.0242,2
uniform,5,647,0.9944444444444445,0.003928371006591917,0.9944437739870369,0.00392904635406257,0.9944444444444445,0.0242,2
uniform,7,831,0.9958333333333333,0.0019641855032959585,0.9958330439613863,0.0019643219145399978,0.9958333333333333,0.0242,2
uniform,10,1107,0.9958333333333333,0.0019641855032959585,0.9958330439613863,0.0019643219145399978,0.9958333333333333,0.0242,2
