strategy,n_bins,vocab_size,test_accuracy_mean,test_accuracy_sd,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,test_oor_rate_pct,n_seeds
quantile,3,463,0.99079754601227,0.0,0.9916239267615989,0.0008580686978610606,0.993450897706217,0.0667,2
quantile,5,647,0.99079754601227,0.004338078412187462,0.9916825431065448,0.004624274845288095,0.9911952225782013,0.0667,2
quantile,7,831,0.9846625766871165,0.0,0.985400167422076,0.001183435701083331,0.9881922195751982,0.0667,2
quantile,10,1107,0.9892638036809815,0.00216903920609377,0.9903950165696583,0.0029406903624960676,0.9924890696167292,0.0667,2
uniform,3,463,0.9785276073619632,0.008676156824374765,0.9792292241155875,0.009139200309413719,0.9806778663161642,0.0667,2
uniform,5,647,0.9892638036809815,0.00216903920609377,0.9899229718822758,0.0017513595533585086,0.9906555491661874,0.0667,2
uniform,7,831,0.995398773006135,0.0021690392060936914,0.9962219327149174,0.0017953915037679776,0.9967254488531084,0.0667,2
uniform,10,1107,0.99079754601227,0.0,0.991669943618473,0.0008673777159512668,0.9893617021276596,0.0667,2
