class,support,precision,precision_sd,recall,recall_sd,f1,f1_sd
Scratches,47,0.9783454106280194,0.0005045072119373212,0.9617021276595745,0.023307342872560248,0.9698442459585148,0.012000657922267852
Rolled in scale,42,0.976955602536998,0.016073215905918137,1.0,0.0,0.9882900136798906,0.008222513272235018
Inclusion,111,0.9892535392535393,0.007460688570995311,0.990990990990991,0.0,0.9901102531015482,0.003732474127987006
Pitted surface,42,1.0,0.0,0.9904761904761905,0.01304101327393254,0.9951807228915662,0.006599066957893588
Crazing,42,1.0,0.0,1.0,0.0,1.0,0.0
Patches,42,1.0,0.0,1.0,0.0,1.0,0.0
