model,kind,seed,status,accuracy,precision_macro,recall_macro,f1_macro,errors,train_seconds,params
fpn_amff,variant,42,ok,100.0,100.0,100.0,100.0,0,5440.258810043335,3358111
fpn_amff,variant,1337,ok,99.44444444444444,99.46236559139786,99.44444444444444,99.44429008057794,2,5177.378239154816,3358111
fpn_amff,variant,2026,ok,100.0,100.0,100.0,100.0,0,5770.28951382637,3358111
full,variant,42,ok,99.72222222222223,99.72677595628416,99.72222222222223,99.72220293075908,1,5215.455400466919,3364064
full,variant,1337,ok,99.72222222222223,99.72677595628416,99.72222222222223,99.72220293075908,1,58529.034006118774,3364064
